reading_order,batch,sample_id,swap_from,swap_to,clause_replaced_to,caption_distractor,q1_grammatical,q2_asserts_swap_to,q3_not_still_true,notes
454,5,sushi:p_spike\21\0000004,positive spike,smooth,Minor noise is often observed in the primarily smooth signal.,"The signal displays a consistent pattern that perpetually repeats at regular intervals, bearing similarity to a square wave. Minor noise is often observed in the primarily smooth signal.",y,y,y,
455,5,sushi:p_spike\02\0000003,positive spike,step,"Equally important, the signal exhibits significant step changes at different intervals.","The trajectory consistently shows a linear decline. Equally important, the signal exhibits significant step changes at different intervals.",y,y,y,
456,5,sushi:p_spike\04\0000001,positive spike,noisy,Noise pervades throughout the signal.,"The pattern, similar to a convex curve, initially falls and then rises. Noise pervades throughout the signal.",y,y,y,"no magnitude, but 'pervades throughout' claims continuous noise — false for clean spike-only signal, kept y"
457,5,sushi:p_spike\13\0000004,positive spike,positive-and-negative spike,"In addition, the signal frequently shows positive and negative spikes.","The tendency is like a hill, starting with an increase and then a decrease, with both ends at the same level. In addition, the signal frequently shows positive and negative spikes.",y,y,y,"no magnitude but claims negative spikes absent from positive-only truth — polarity decides, false"
458,5,sushi:p_spike\05\0000004,positive spike,negative spike,"Considerable negative spikes mark the signal at different points, additionally.","Ending with a significant end increase, the course is outlined by exponential acceleration. Considerable negative spikes mark the signal at different points, additionally.",y,y,y,
459,5,sushi:pn_spike\14\0000001,positive-and-negative spike,positive spike,"Additionally, the signal is plagued by substantial positive spikes throughout.","The shift is in tune with an inverted Gaussian function, dropping at first and then climbing, with both ends eventually equating to a constant value. Additionally, the signal is plagued by substantial positive spikes throughout.",y,y,n,±spike truth is plagued by substantial positive spikes — claim still true (subset)
460,5,sushi:p_spike\22\0000008,positive spike,smooth,"Generally, the signal is smooth with minor noise.","A periodic pattern, similar to a sawtooth wave, is presented by the signal. Generally, the signal is smooth with minor noise.",y,y,y,
461,5,sushi:noisy\09\0000009,noisy,step,Consistent large step changes can be seen in the signal.,"The trend is consistently going up, like an S-shaped curve, and it slowly starts to level off at a certain point. Consistent large step changes can be seen in the signal.",y,y,y,
462,5,sushi:n_spike\02\0000000,negative spike,noisy,"Considerable amounts of noise fill the signal, also.","The pattern is witnessing a linear and constant decline. Considerable amounts of noise fill the signal, also.",y,y,y,pervasive 'fill' distinguishes noise claim from sporadic negative spikes — kept y
463,5,sushi:smooth\05\0000008,smooth,negative spike,"Additionally, the signal is marked by considerable negative spikes at different points.","Ending with a sharp end spike, the trend is illustrated by exponential expansion. Additionally, the signal is marked by considerable negative spikes at different points.",y,y,y,
464,5,sushi:n_spike\06\0000006,negative spike,positive spike,"Additionally, the signal is sporadically punctuated with sizeable positive spikes.","Decreasing inverse exponential growth with a drop is exhibited by the lapse. Additionally, the signal is sporadically punctuated with sizeable positive spikes.",y,y,y,retained trend clause 'exhibited by the lapse' awkward (shared by both captions); swap clean
465,5,sushi:n_spike\07\0000006,negative spike,smooth,Minor noise is in the smooth signal.,Process defined by decrease targets a certain value via exponential decay. Minor noise is in the smooth signal.,y,y,y,retained trend clause 'Process defined by decrease targets…' telegraphic; swap clean
466,5,sushi:n_spike\02\0000009,negative spike,positive-and-negative spike,"Both large positive and negative spikes fill the signal, significantly.","The trend is steadily declining. Both large positive and negative spikes fill the signal, significantly.",y,y,y,claims positive spikes absent from negative-only truth — false despite subset-like wording
467,5,sushi:n_spike\05\0000007,negative spike,noisy,"A large amount of noise covers the signal throughout, furthermore.","Ending with a sharp climax rise, the trend's progression is exponential. A large amount of noise covers the signal throughout, furthermore.",y,y,y,pervasive 'covers throughout' — kept y
468,5,sushi:noisy\20\0000006,noisy,step,"In addition, the signal is separated by step changes of considerable magnitude.","The signal, mirroring a sinusoidal wave, presents a pattern that repeats at regular intervals. In addition, the signal is separated by step changes of considerable magnitude.",y,y,y,q1: 'separated by step changes' odd collocation; swap clean
469,5,sushi:noisy\00\0000009,noisy,negative spike,"Besides, the signal shows large negative spikes intermittently.","The trend is steady, with no amendments from the predetermined values. Besides, the signal shows large negative spikes intermittently.",y,y,y,noisy→n_spike: 'large' magnitude distinguishes — kept y
470,5,sushi:n_spike\12\0000009,negative spike,positive spike,"Large positive spikes are throughout the signal, additionally.","Initially diminishing, then enlarging in the middle, and finally diminishing again, the pattern mirrors the curve of a negative cubic function. This creates a 90-degree rotated S-shape. Large positive spikes are throughout the signal, additionally.",y,y,y,
471,5,sushi:noisy\06\0000002,noisy,smooth,"Large part, the signal is smooth with minor interference.","The flow shows a decreasing inverse exponential enhancement, characterised by a steep plunge at the finish. Large part, the signal is smooth with minor interference.",n,y,y,"q1: 'Large part, the signal is smooth…' malformed truncation (should be 'For the most part'); swap itself judges clean"
472,5,sushi:smooth\01\0000002,smooth,negative spike,Large negative spikes are present in the signal.,The trend is straight in its growth. Large negative spikes are present in the signal.,y,y,y,
473,5,sushi:step\00\0000007,step,positive spike,"Furthermore, the signal is sporadically interrupted by large positive spikes throughout.","The pattern remains steady without straying from a determined value. Furthermore, the signal is sporadically interrupted by large positive spikes throughout.",y,y,y,
474,5,sushi:noisy\23\0000009,noisy,smooth,Minor interruptions remain in the smooth signal.,The signal shows a rhythmic tendency similar to an inverse sawtooth wave. Minor interruptions remain in the smooth signal.,y,y,y,
475,5,sushi:smooth\24\0000002,smooth,noisy,"Correspondingly, the signal is contaminated with significant noise.","The signal shows a sequence repeating regularly, akin to a triangular wave. Correspondingly, the signal is contaminated with significant noise.",y,y,y,
476,5,sushi:noisy\11\0000005,noisy,step,"Additionally, the signal contains a high number of step changes.","The sequence mimics the path of a positive cubic function, initially rising, falling in the middle and finally rising again. This constitutes a reflexive, 90-degree rotated S-shape. Additionally, the signal contains a high number of step changes.",y,y,y,
477,5,sushi:step\23\0000003,step,positive-and-negative spike,"Also, the signal scatters sizable positive and negative spikes.","Signal, like a reverse sawtooth wave, shows a rhythmic sequence. Also, the signal scatters sizable positive and negative spikes.",y,y,y,"q1: 'the signal scatters … spikes' odd transitive use, still parses; swap clean (steps ≠ spikes)"
478,5,sushi:noisy\02\0000001,noisy,negative spike,"Besides, the signal is spotted with considerable amounts of negative spikes.","The path is linearly declining at a steady pace. Besides, the signal is spotted with considerable amounts of negative spikes.",y,y,y,noisy→n_spike: 'considerable' magnitude distinguishes — kept y
479,5,sushi:noisy\14\0000008,noisy,positive spike,Positive spikes appear throughout the signal.,"First descending, then ascending, the pattern follows an upside-down Gaussian function, both ends becoming a fixed value. Positive spikes appear throughout the signal.",y,y,y,no magnitude and 'throughout' vs noisy truth — 'spikes' still implies discrete impulses vs continuous jitter; kept y with hesitation
480,5,sushi:step\05\0000009,step,smooth,"Generally, the signal demonstrates a smooth trend with minor disturbances.","The trajectory is known for its exponential escalation, leading to a sharp increase at the culmination. Generally, the signal demonstrates a smooth trend with minor disturbances.",y,y,y,
481,5,sushi:p_spike\06\0000002,positive spike,noisy,"A large amount of noise covers the signal throughout, furthermore.","The flow shows a decreasing inverse exponential enhancement, characterised by a steep plunge at the finish. A large amount of noise covers the signal throughout, furthermore.",y,y,y,pervasive 'covers throughout' distinguishes from sporadic spikes — kept y
482,5,sushi:smooth\02\0000005,smooth,step,Large step changes are in the signal.,The linear decrease is evident in the trend. Large step changes are in the signal.,y,y,y,
483,5,sushi:p_spike\23\0000001,positive spike,negative spike,"Also, the signal has sizeable negative spikes at various intervals.","Replicated at regular intervals, the signal shows a rhythmic pattern similar to an inverse sawtooth wave. Also, the signal has sizeable negative spikes at various intervals.",y,y,y,
484,5,sushi:noisy\22\0000004,noisy,positive spike,"Additionally, there are large positive spikes throughout the signal.","Replicating at regular intervals, the signal shows a rhythmic pattern similar to saw waves. Additionally, there are large positive spikes throughout the signal.",y,y,y,noisy→p_spike: 'large' magnitude distinguishes — kept y
485,5,sushi:pn_spike\09\0000004,positive-and-negative spike,smooth,"For the most part, the signal is smooth with slight disturbances.","The path reflects a continuous increase, similar to a sigmoid curve, approaching a value, with a slowing rate of acceleration. For the most part, the signal is smooth with slight disturbances.",y,y,y,
486,5,sushi:step\07\0000004,step,noisy,"A significant amount of noise permeates the signal, in addition.","Flow marked by decrease nears a certain value through exponential decay. A significant amount of noise permeates the signal, in addition.",y,y,y,
487,5,sushi:pn_spike\08\0000001,positive-and-negative spike,step,Step changes of large magnitude are a common occurrence in the signal.,The trajectory is on its way to saturation due to the growth of inverse exponential decay. Step changes of large magnitude are a common occurrence in the signal.,y,y,y,
488,5,sushi:smooth\08\0000007,smooth,positive-and-negative spike,"In addition, the signal frequently shows spikes of considerable magnitude, both positive and negative.","Increasing inverse exponential decay is causing the trajectory to move towards saturation. In addition, the signal frequently shows spikes of considerable magnitude, both positive and negative.",y,y,y,
489,5,sushi:smooth\10\0000007,smooth,negative spike,"Equally important, the signal is characterised by intermittent negative spikes of considerable magnitude.","Comparable to an inverse sigmoid curve with a mirrored S-shape, the direction presents a steadily declining trend, with its rate of descent gradually decelerating, eventually approaching a fixed value. Equally important, the signal is characterised by intermittent negative spikes of considerable magnitude.",y,y,y,
490,5,sushi:step\02\0000006,step,positive spike,Positive spikes interrupt the signal.,The decline is steady in the trend. Positive spikes interrupt the signal.,y,y,y,"no magnitude on 'positive spikes' but steps persist vs spikes revert — class-distinguishing, kept y"
491,5,sushi:n_spike\12\0000000,negative spike,smooth,Minor noise is in the smooth signal.,"The trend mirrors the curve of a negative cubic function, starting with a decrease, then experiencing an increase and finally decreasing again. This forms a 90-degree rotated S-shape. Minor noise is in the smooth signal.",y,y,y,
492,5,sushi:pn_spike\11\0000006,positive-and-negative spike,noisy,"Besides, the signal is frequently tainted by considerable noise.","The pattern resembles the trajectory of a positive cubic function, starting with an increase, then a decrease in the middle and finally returning to an upward trend. This forms an inverted, 90-degree rotated S-shape. Besides, the signal is frequently tainted by considerable noise.",y,y,n,"frequently tainted by considerable noise' could describe recurring large ±spikes — non-pervasive wording, not clearly false"
493,5,sushi:p_spike\23\0000003,positive spike,negative spike,Large negative spikes are present in the signal.,Signal shows a regular pattern like an inverse sawtooth wave. Large negative spikes are present in the signal.,y,y,y,
494,5,sushi:step\13\0000008,step,positive spike,"Additionally, there are large positive spikes throughout the signal.","The development is consistent with a Gaussian function, initially rising and subsequently descending, and both ends finally equal to a constant. Additionally, there are large positive spikes throughout the signal.",y,y,y,
495,5,sushi:step\01\0000008,step,smooth,"Mainly, minor noise is observed in the smooth signal.","The increase in the trend is uniform and linear. Mainly, minor noise is observed in the smooth signal.",y,y,y,
496,5,sushi:n_spike\10\0000003,negative spike,step,Signal has considerable step changes.,"The pattern depicts a consistent downward trajectory, akin to an inverted sigmoid curve that exhibits a mirrored S-shape, with its rate of decrease progressively slowing down, finally nearing a definite value. Signal has considerable step changes.",y,y,y,q1: 'Signal has considerable step changes' missing article; swap clean (spikes ≠ steps)
497,5,sushi:pn_spike\20\0000007,positive-and-negative spike,noisy,Noise is exhibited by the signal.,"The signal, comparable to a sinusoidal wave, exhibits a pattern that repeats rhythmically. Noise is exhibited by the signal.",y,n,n,"Noise is exhibited' — no magnitude: doesn't pin the noisy class, and sporadic ±spikes could loosely read as noise — not clearly false"
498,5,sushi:noisy\01\0000002,noisy,positive-and-negative spike,"In addition, the signal frequently shows positive and negative spikes.","The series observes linear elevation. In addition, the signal frequently shows positive and negative spikes.",y,y,n,frequently shows positive and negative spikes' with no magnitude — close to describing noise's own bidirectional excursions; can't cleanly tell classes apart
499,5,sushi:smooth\08\0000007,smooth,negative spike,"In addition, the signal is consistently marred by high levels of negative spikes.","Increasing inverse exponential decay is causing the trajectory to move towards saturation. In addition, the signal is consistently marred by high levels of negative spikes.",y,y,y,
500,5,sushi:smooth\07\0000007,smooth,positive spike,"Additionally, there are large positive spikes throughout the signal.","The pathway is marked by a decrease and is drawn to a specific value by exponential decay. Additionally, there are large positive spikes throughout the signal.",y,y,y,
501,6,sushi:n_spike\22\0000000,negative spike,smooth,Minor interruptions remain in the smooth signal.,"Unveiling a cyclical pattern, the signal recurs at regular intervals, reminiscent of a sawtooth wave. Minor interruptions remain in the smooth signal.",y,y,y,
502,6,sushi:smooth\00\0000004,smooth,step,"Notably, the signal is characterised by large step changes at various points.","Trend unchanging, no amendments from established values. Notably, the signal is characterised by large step changes at various points.",y,y,y,"retained trend clause 'Trend unchanging, no amendments from established values.' telegraphic (both captions, not swap-related)"
503,6,sushi:p_spike\09\0000007,positive spike,noisy,"Considerable amounts of noise infiltrate the signal, furthermore.","Echoing an S-shaped sigmoid curve, the trajectory shows a steady ascent, with its rate of increase slowing, eventually nearing a constant value. Considerable amounts of noise infiltrate the signal, furthermore.",y,y,y,"spike-truth vs noise claim; 'infiltrate' reads pervasive like 'permeates' — false for clean spike signal, kept y"
504,6,sushi:pn_spike\03\0000009,positive-and-negative spike,negative spike,"Besides, the signal is speckled with high levels of negative spikes.","Reproducing a concave curve similar to a quadratic function, the trend initially rises and then falls. Besides, the signal is speckled with high levels of negative spikes.",y,y,n,"±spike truth does contain high-level negative spikes ('speckled with') — claim still true, lacks exclusivity"
505,6,sushi:pn_spike\04\0000004,positive-and-negative spike,positive spike,"Furthermore, the signal is sporadically interrupted by large positive spikes throughout.","The trajectory follows a convex curve similar to a quadratic function, initially descending and then ascending. Furthermore, the signal is sporadically interrupted by large positive spikes throughout.",y,y,n,±spike truth is sporadically interrupted by large positive spikes — claim still true ('sporadically…throughout' also mildly contradictory)
506,6,sushi:n_spike\04\0000000,negative spike,smooth,"In general, the signal is smooth with slight spikes.","The trajectory follows a convex curve similar to a quadratic function, initially descending and then ascending. In general, the signal is smooth with slight spikes.",y,y,y,
507,6,sushi:smooth\05\0000004,smooth,noisy,"A significant amount of noise permeates the signal, in addition.","The trend is recognised by an exponential increase, with a sharp ascent towards the peak. A significant amount of noise permeates the signal, in addition.",y,y,y,
508,6,sushi:smooth\01\0000008,smooth,step,"In the same vein, large step changes are seen intermittently within the signal.","The trend is on a persistent and steady incline. In the same vein, large step changes are seen intermittently within the signal.",y,y,y,
509,6,sushi:step\21\0000004,step,positive-and-negative spike,"Also, the signal scatters sizable positive and negative spikes.","The signal shows a rhythmic pattern, similar to a square wave, that recurs at regular intervals. Also, the signal scatters sizable positive and negative spikes.",y,y,y,"the signal scatters sizable spikes' odd transitive collocation; grammatical, steps≠spikes — kept y"
510,6,sushi:p_spike\21\0000004,positive spike,negative spike,"Also, the signal has sizeable negative spikes at various intervals.","The signal displays a consistent pattern that perpetually repeats at regular intervals, bearing similarity to a square wave. Also, the signal has sizeable negative spikes at various intervals.",y,y,y,
511,6,sushi:smooth\03\0000009,smooth,positive spike,"Large positive spikes are throughout the signal, additionally.","The progression, mimicking a concave curve identical to a quadratic function, initially ascends and then descends. Large positive spikes are throughout the signal, additionally.",y,y,y,
512,6,sushi:noisy\14\0000006,noisy,smooth,A smooth pattern with slight interference is generally shown by the signal.,"The progression is like a valley, it starts by going down and then goes up, ending at the same level on both ends. A smooth pattern with slight interference is generally shown by the signal.",y,y,y,
513,6,sushi:step\10\0000007,step,noisy,"Considerable noise frequently taints the signal, besides.","The path is consistently falling, like an upside-down S-curve, and it's starting to slow down as it approaches a certain point. Considerable noise frequently taints the signal, besides.",y,y,y,step-truth vs noise claim; steps aren't noise — kept y
514,6,sushi:p_spike\20\0000004,positive spike,step,"Also, there are substantial step changes throughout the signal.","The signal portrays a recurring pattern at regular intervals, much like a sinusoidal wave. Also, there are substantial step changes throughout the signal.",y,y,y,
515,6,sushi:smooth\04\0000008,smooth,negative spike,"Equally important, the signal is characterised by intermittent negative spikes of considerable magnitude.","The trend decreases and increases, like a convex curve. Equally important, the signal is characterised by intermittent negative spikes of considerable magnitude.",y,y,y,
516,6,sushi:step\23\0000007,step,positive spike,"Additionally, there are large positive spikes throughout the signal.","Showing a rhythmic tendency to repeat at regular intervals, the signal is similar to an inverse sawtooth wave. Additionally, there are large positive spikes throughout the signal.",y,y,y,
517,6,sushi:pn_spike\23\0000007,positive-and-negative spike,smooth,"Mainly, minor noise is observed in the smooth signal.","The signal indicates a regular cycle that perpetually reiterates at uniform intervals, similar to an inverse sawtooth wave. Mainly, minor noise is observed in the smooth signal.",y,y,y,
518,6,sushi:pn_spike\23\0000001,positive-and-negative spike,noisy,"Besides, the signal is sporadically interrupted by large amounts of noise.","The signal shows a rhythmic tendency similar to an inverse sawtooth wave. Besides, the signal is sporadically interrupted by large amounts of noise.",y,y,n,sporadically interrupted by large amounts of noise' plausibly describes sporadic large ±spikes — not clearly false
519,6,sushi:noisy\02\0000001,noisy,positive-and-negative spike,"Additionally, the signal is peppered with large positive and negative spikes.","The path is linearly declining at a steady pace. Additionally, the signal is peppered with large positive and negative spikes.",y,y,y,"noisy→±spike close pair; 'peppered with large spikes' — magnitude distinguishes from noise, kept y"
520,6,sushi:smooth\21\0000009,smooth,negative spike,"Moreover, the signal is characterized by frequent negative spikes of large magnitude.","The signal presents a consistent pattern, similar to a square wave. Moreover, the signal is characterized by frequent negative spikes of large magnitude.",y,y,y,
521,6,sushi:step\04\0000005,step,positive spike,"Large positive spikes saturate the signal, furthermore.","The sequence, initially descending and then ascending, mirrors a convex curve, akin to a quadratic function. Large positive spikes saturate the signal, furthermore.",y,y,y,
522,6,sushi:p_spike\12\0000001,positive spike,smooth,"Mainly, the signal shows a smooth pattern with slight irregularities.","Starting with a dip, increasing at the midpoint and finally dipping again, the trend is akin to the curve of a negative cubic function. This forms an S-shape rotated by 90 degrees. Mainly, the signal shows a smooth pattern with slight irregularities.",y,y,y,
523,6,sushi:n_spike\02\0000009,negative spike,step,Consistent large step changes can be seen in the signal.,The trend is steadily declining. Consistent large step changes can be seen in the signal.,y,y,y,
524,6,sushi:p_spike\05\0000004,positive spike,noisy,"A large amount of noise covers the signal throughout, furthermore.","Ending with a significant end increase, the course is outlined by exponential acceleration. A large amount of noise covers the signal throughout, furthermore.",y,y,y,"spike-truth vs noise claim; 'covers throughout' pervasive — false for clean spike signal, kept y"
525,6,sushi:noisy\01\0000002,noisy,negative spike,"Also, the signal has sizeable negative spikes at various intervals.","The series observes linear elevation. Also, the signal has sizeable negative spikes at various intervals.",y,y,y,noisy→n_spike; 'sizeable' magnitude distinguishes from noise — kept y
526,6,sushi:step\14\0000005,step,positive spike,"Additionally, there are large positive spikes throughout the signal.","Resembling an inverse Gaussian function, the orientation initially decreases then increases, with both ends equalizing at a fixed value. Additionally, there are large positive spikes throughout the signal.",y,y,y,
527,6,sushi:n_spike\07\0000003,negative spike,smooth,Minor interruptions remain in the smooth signal.,The phase is indicated by a decreasing trend and edges towards a specific value by exponential decay. Minor interruptions remain in the smooth signal.,y,y,y,
528,6,sushi:p_spike\00\0000007,positive spike,step,"Also, there are notable step changes scattered throughout the signal.","The trend stays constant, no alterations from the value. Also, there are notable step changes scattered throughout the signal.",y,y,y,
529,6,sushi:p_spike\11\0000006,positive spike,positive-and-negative spike,"Furthermore, large positive and negative spikes appear consistently.","The trend is like a hill, it starts by going up, then down, then up again, forming a sideways S shape if you flip it. Furthermore, large positive and negative spikes appear consistently.",y,y,y,"claims both polarities; truth has only positive spikes — false, ok"
530,6,sushi:step\24\0000000,step,noisy,"Substantial noise plagues the signal throughout, additionally.","The signal exhibits a rhythmic tendency to reverberate at regular intervals, similar to a triangular wave. Substantial noise plagues the signal throughout, additionally.",y,y,y,
531,6,sushi:p_spike\01\0000004,positive spike,negative spike,The signal has considerable negative spikes.,The pattern is linearly increasing in a consistent manner. The signal has considerable negative spikes.,y,y,y,
532,6,sushi:step\12\0000001,step,positive spike,"Also, the signal is filled with sizable positive spikes.","The pattern parallels the curve of a negative cubic function, initially dipping, then surging and finally dipping again. It forms a 90-degree rotated S-shape. Also, the signal is filled with sizable positive spikes.",y,y,y,
533,6,sushi:pn_spike\12\0000007,positive-and-negative spike,smooth,"By and large, the smooth signal remains with only slight noise and spikes.","Starting with a dip, increasing, and dipping, the trend is akin to a negative cubic function's curve and forms a rotated 90-degree S-shape. By and large, the smooth signal remains with only slight noise and spikes.",y,y,y,q1: 'the smooth signal remains with only slight noise and spikes' awkward; 'only slight' contradicts large ±spikes on magnitude — kept y
534,6,sushi:noisy\09\0000000,noisy,step,Large step changes mark the signal.,"The process shows an upward trend, similar to a sigmoid curve, settles at a value, while its expansion decelerates. Large step changes mark the signal.",y,y,y,
535,6,sushi:step\09\0000000,step,noisy,"Furthermore, the signal is covered by a large amount of noise throughout.","The trend indicates an upward pattern, akin to a sigmoid curve, with a decreasing growth rate, reaching a value. Furthermore, the signal is covered by a large amount of noise throughout.",y,y,y,
536,6,sushi:noisy\03\0000002,noisy,negative spike,"Considerable negative spikes mark the signal at different points, additionally.","The progression, conforming to a concave curve identical to a quadratic function, initially slopes and then descends. Considerable negative spikes mark the signal at different points, additionally.",y,y,y,noisy→n_spike; 'considerable' magnitude distinguishes — kept y
537,6,sushi:noisy\24\0000007,noisy,positive spike,"Furthermore, the signal is sporadically interrupted by large positive spikes throughout.","The signal presents a repeating pattern that's comparable to a triangular wave. Furthermore, the signal is sporadically interrupted by large positive spikes throughout.",y,y,y,noisy→p_spike; 'large' magnitude distinguishes from noise — kept y
538,6,sushi:step\01\0000003,step,smooth,"Overall, the signal is smooth, with only minor interference and spikes.","The trend is escalating at a persistent and steady speed. Overall, the signal is smooth, with only minor interference and spikes.",y,y,y,
539,6,sushi:n_spike\24\0000004,negative spike,positive-and-negative spike,"Additionally, there are large positive and negative spikes throughout the signal.","The signal, analogous to a triangular wave, reveals a periodically repeating pattern. Additionally, there are large positive and negative spikes throughout the signal.",y,y,y,"claims both polarities; truth negative-only — false, ok"
540,6,sushi:n_spike\03\0000004,negative spike,noisy,The signal contains frequent noise.,"The trend reproduces a concave curve, initially rising and falling. The signal contains frequent noise.",y,n,n,The signal contains frequent noise' — no magnitude; neither pins the noisy class nor is clearly false for a spike signal (sporadic large disturbances could read as frequent noise)
541,6,sushi:pn_spike\14\0000000,positive-and-negative spike,step,"Equally important, the signal exhibits significant step changes at different intervals.","The shift is in tune with an inverted Gaussian function, dropping at first and then climbing, with both ends eventually equating to a constant value. Equally important, the signal exhibits significant step changes at different intervals.",y,y,y,
542,6,sushi:step\21\0000002,step,negative spike,The signal contains negative spikes.,"The signal exhibits a periodic tendency to reverberate at regular intervals, comparable to square waves. The signal contains negative spikes.",y,y,y,"no magnitude, but steps persist vs spikes revert — class-distinguishing, kept y"
543,6,sushi:n_spike\03\0000004,negative spike,positive spike,The signal contains positive spikes.,"The trend reproduces a concave curve, initially rising and falling. The signal contains positive spikes.",y,y,y,"no magnitude, but polarity decides: truth negative-only, positives absent — false, ok"
544,6,sushi:step\03\0000007,step,smooth,Minor interruptions remain in the smooth signal.,"Similar to a concave curve, the trend initially ascends and then descends. Minor interruptions remain in the smooth signal.",y,y,y,
545,6,sushi:smooth\02\0000000,smooth,noisy,The signal has high levels of noise.,The decline in the trend is uniform. The signal has high levels of noise.,y,y,y,"smooth truth: 'high levels of noise' contradicts slight-noise-only — false, ok"
546,6,sushi:step\12\0000006,step,negative spike,"Correspondingly, the signal is contaminated with significant negative spikes.","The progression reflects the graph of a negative cubic function, initially dipping, then surging in the middle and finally dipping again. This forms an S-shape rotated by 90 degrees. Correspondingly, the signal is contaminated with significant negative spikes.",y,y,y,
547,6,sushi:pn_spike\13\0000004,positive-and-negative spike,positive spike,"Furthermore, the signal is riddled with large positive spikes at various intervals.","Ascending then descending, the movement corresponds to a Gaussian function, aligning to a constant. Furthermore, the signal is riddled with large positive spikes at various intervals.",y,y,n,"±spike truth is riddled with large positive spikes — claim still true, lacks exclusivity"
548,6,sushi:step\14\0000005,step,smooth,"In general, the signal is smooth with slight spikes.","Resembling an inverse Gaussian function, the orientation initially decreases then increases, with both ends equalizing at a fixed value. In general, the signal is smooth with slight spikes.",y,y,y,
549,6,sushi:n_spike\24\0000000,negative spike,step,Large step changes are in the signal.,"Presenting a regular rhythm, the signal is like a triangular wave. Large step changes are in the signal.",y,y,y,
550,6,sushi:p_spike\06\0000002,positive spike,positive-and-negative spike,"Both large positive and negative spikes fill the signal, significantly.","The flow shows a decreasing inverse exponential enhancement, characterised by a steep plunge at the finish. Both large positive and negative spikes fill the signal, significantly.",y,y,y,"claims both polarities; truth positive-only — false, ok"
551,6,sushi:smooth\06\0000001,smooth,negative spike,"Also, the signal displays significant negative spikes throughout.","The progression shows a reducing inverse exponential rise, characterised by a steep decline at the culmination. Also, the signal displays significant negative spikes throughout.",y,y,y,
552,6,sushi:step\00\0000004,step,positive spike,"Additionally, the signal is sporadically punctuated with sizeable positive spikes.","The trend stays the same and doesn't vary from the stipulated value. Additionally, the signal is sporadically punctuated with sizeable positive spikes.",y,y,y,
553,6,sushi:pn_spike\12\0000006,positive-and-negative spike,smooth,"Large part, the signal is smooth with minor interference.","The motion reflects a negative cubic function, starting with a decline, then a rise, and finally a fall. This forms a 90-degree rotated S-shape. Large part, the signal is smooth with minor interference.",n,y,y,"Large part, the signal is smooth…' — truncated opener (should be 'For the most part' / 'In large part'); recurring malformation. Swap claim itself clearly false for ±spike truth"
554,6,sushi:step\01\0000008,step,noisy,"A large amount of noise saturates the signal, furthermore.","The increase in the trend is uniform and linear. A large amount of noise saturates the signal, furthermore.",y,y,y,"step-truth vs noise claim; 'saturates' pervasive, steps aren't noise — kept y"
555,6,sushi:smooth\03\0000005,smooth,step,"Notably, the signal is characterised by large step changes at various points.","Direction conforms to a concave curvature, initially rising and falling. Notably, the signal is characterised by large step changes at various points.",y,y,y,
556,6,sushi:smooth\03\0000009,smooth,negative spike,"Also, the signal displays significant negative spikes throughout.","The progression, mimicking a concave curve identical to a quadratic function, initially ascends and then descends. Also, the signal displays significant negative spikes throughout.",y,y,y,
557,6,sushi:pn_spike\09\0000009,positive-and-negative spike,positive spike,Frequent positive spikes are found in the signal.,"The pattern displays an unbroken upward trajectory, resembling an S-shaped sigmoid curve, eventually nearing a constant value, with a progressively slowing rate of increase. Frequent positive spikes are found in the signal.",y,y,n,"±spike truth does contain frequent positive spikes — claim still true, lacks exclusivity"
558,6,sushi:step\02\0000006,step,smooth,Minor interruptions remain in the smooth signal.,The decline is steady in the trend. Minor interruptions remain in the smooth signal.,y,y,y,
559,6,sushi:step\13\0000008,step,noisy,"Besides, the signal is frequently tainted by considerable noise.","The development is consistent with a Gaussian function, initially rising and subsequently descending, and both ends finally equal to a constant. Besides, the signal is frequently tainted by considerable noise.",y,y,y,step-truth vs noise claim; steps aren't noise — kept y
560,6,sushi:n_spike\06\0000006,negative spike,positive-and-negative spike,"Both large positive and negative spikes fill the signal, significantly.","Decreasing inverse exponential growth with a drop is exhibited by the lapse. Both large positive and negative spikes fill the signal, significantly.",y,y,y,"claims both polarities, truth negative-only — false ok; retained trend clause 'exhibited by the lapse' awkward (not swap-related)"
561,6,sushi:smooth\09\0000006,smooth,step,Large step changes are evident in the signal.,"Like the sigmoid curve that generates an S-shape, the trend manifests a monotonous increasing pattern, with its rate of increase gradually subsiding and eventually approaching a constant value. Large step changes are evident in the signal.",y,y,y,
562,6,sushi:smooth\13\0000002,smooth,negative spike,"In the same vein, the signal is smeared with high levels of negative spikes.","Initially ascending and later descending, the drift is consistent with a Gaussian function, with both ends finally equal to a constant. In the same vein, the signal is smeared with high levels of negative spikes.",y,y,y,
563,6,sushi:n_spike\09\0000003,negative spike,positive spike,"Large positive spikes are throughout the signal, additionally.","Analogous to a sigmoid curve, the progression illustrates a steady upward trend, with the speed of increase gradually diminishing, eventually culminating at a specific value. Large positive spikes are throughout the signal, additionally.",y,y,y,
564,6,sushi:noisy\07\0000006,noisy,smooth,"For the most part, the signal is smooth with slight disturbances.","A value is inclined to by the tendency through exponential decay. For the most part, the signal is smooth with slight disturbances.",y,y,y,"retained trend clause 'A value is inclined to by the tendency…' tortured passive (both captions, not swap-related); swap claim clearly false"
