# N3 census sheet | 289 flagged items not in the 100-sample | rules R1-R3 in the flag column | same two-part y/n test and mechanics as the sample,,,,,,,,,,
reading_order,item_id,duration_class,flags,swap_from,swap_to,clause_replaced_from,clause_replaced_to,swapped_caption_to_judge,y_or_n,notes
125,N3|1688|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of -13.9°C to a high of 13.9°C, showing a noticeable warming trend towards the end of the week, with some fluctuations and outliers in the early days.","The temperature ranged from a low of -13.9°C to a high of 13.9°C, showing a noticeable cooling trend towards the end of the week, with some fluctuations and outliers in the early days.","Weather time series location: Scotts Bluff, Nebraska experienced a cold and dry week. Time range: The past week from February 4 to February 10, 2022. The weather is Cold, Clear, Windy. The temperature ranged from a low of -13.9°C to a high of 13.9°C, showing a noticeable cooling trend towards the end of the week, with some fluctuations and outliers in the early days. 
 There was no recorded precipitation throughout the week, indicating a completely dry period. 
 Relative humidity values varied from 20.0% to 79.0%, with a general trend of decreasing humidity as the week progressed, particularly in the latter half. 
 Visibility remained consistently high, mostly around 16.09 km, with occasional drops to 15.21 km. 
 Wind direction varied, with speeds reaching up to 12.21 m/s, contributing to the overall windy conditions. 
 Wind velocity showed variability, with some gusts reaching up to -9.21 m/s, indicating periods of stronger winds. 
 The sky cover ranged from clear to scattered clouds, with a predominance of clear conditions throughout the week.",y,
126,N3|1689|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 8.58°C to a high of 25.98°C, with noticeable fluctuations and a general warming trend towards the end of the period.","The temperature ranged from a low of 8.58°C to a high of 25.98°C, with noticeable fluctuations and a general cooling trend towards the end of the period.","Weather time series location: Mercer, West Virginia experienced a variety of weather conditions. Time range: The past 28 days from June 6 to July 3, 2023. The weather is Clear, Cloudy, Rainy, Humid, Windy. The temperature ranged from a low of 8.58°C to a high of 25.98°C, with noticeable fluctuations and a general cooling trend towards the end of the period. 
 Precipitation was sporadic, with several days of no rain and notable peaks, including a significant rainfall of 2.33 mm on one occasion. 
 Relative humidity varied widely, with values ranging from 36.0% to 99.7%, showing a trend of higher humidity levels during the early mornings and lower levels during the afternoons. 
 Visibility generally remained high, averaging around 16.09 km, with occasional drops due to weather conditions. 
 Wind direction fluctuated, with values ranging from -3.01 to 6.24 m/s, suggesting a mix of calm and windy days. 
 Wind velocity showed variability, with occasional gusts reaching up to 6.32 m/s, indicating periods of breezy conditions. 
 The sky cover varied significantly, with a mix of clear and overcast conditions, predominantly showing overcast skies towards the end of the period.",y,
127,N3|1700|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 25.33°C to a high of 45.25°C, with noticeable volatility and a general upward trend, particularly peaking in the second half of the period.","The temperature ranged from a low of 25.33°C to a high of 45.25°C, with noticeable volatility and a general downward trend, particularly peaking in the second half of the period.","Weather time series location: Maricopa County, Arizona experienced a predominantly hot and dry climate. Time range: The past 28 days from August 6, 2020, to September 2, 2020. The weather is Hot, Clear, Dry. The temperature ranged from a low of 25.33°C to a high of 45.25°C, with noticeable volatility and a general downward trend, particularly peaking in the second half of the period. 
 There was no recorded precipitation throughout the entire 28 days, indicating a completely dry spell. 
 Relative humidity values fluctuated between 6.5% and 65%, showing a trend of lower humidity during the hotter parts of the day and occasional spikes in the early morning and late evening. 
 Visibility remained consistently high, mostly around 16.09 km, with slight reductions on a few occasions. 
 Wind speed in the horizontal direction showed variability, with maximum gusts recorded at 6.66 m/s, suggesting breezy conditions at times. 
 Wind velocity in the vertical direction varied, with notable gusts reaching up to 12.25 m/s, indicating periods of stronger winds. 
 The sky cover ranged from clear to overcast, with a significant portion of the period experiencing clear to few clouds, while some days had scattered to broken clouds.",y,
128,N3|1701|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 4.67°C to a high of 26.33°C, showing a noticeable warming trend towards the end of the week, with some volatility and a few outliers in the lower range.","The temperature ranged from a low of 4.67°C to a high of 26.33°C, showing a noticeable cooling trend towards the end of the week, with some volatility and a few outliers in the lower range.","Weather time series location: Sumter County, Georgia. Time range: The past week from April 19 to April 25, 2021. The weather is Clear, Warm, Humid. The temperature ranged from a low of 4.67°C to a high of 26.33°C, showing a noticeable cooling trend towards the end of the week, with some volatility and a few outliers in the lower range. 
 There was no recorded precipitation throughout the week. 
 Relative humidity varied significantly, starting at 50% and peaking at 94%, with a general trend of increasing humidity towards the end of the week. 
 Visibility remained consistently high, averaging around 16.09 km, with slight reductions noted on some occasions. 
 Wind direction varied, with speeds ranging from -3.51 to 6.48 m/s, showing a mix of calm and breezy conditions. 
 Wind velocity fluctuated, with values ranging from -5.13 to 6.48 m/s, indicating periods of both calm and strong winds. 
 The sky was predominantly clear, with occasional scattered clouds, particularly noted on April 20 and 21.",y,
129,N3|1705|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of -0.46°C to a high of 29.42°C, with noticeable fluctuations and a general warming trend towards the end of the period.","The temperature ranged from a low of -0.46°C to a high of 29.42°C, with noticeable fluctuations and a general cooling trend towards the end of the period.","Weather time series location: The weather data pertains to Pettis County, Missouri. Time range: The past 28 days have been observed from April 3, 2020, to April 30, 2020. The weather is Clear, Cloudy, Rainy, Windy, Humid. The temperature ranged from a low of -0.46°C to a high of 29.42°C, with noticeable fluctuations and a general cooling trend towards the end of the period. 
 Precipitation was minimal, with several days recording no rainfall, while the highest recorded precipitation was 3.42 mm, indicating sporadic light rain events. 
 Relative humidity levels varied significantly, ranging from 24% to 96%, with a tendency for higher humidity during cooler periods and lower values during warmer days. 
 Visibility generally remained high, averaging around 16.09 km, with occasional reductions during periods of precipitation. 
 Wind direction fluctuated, with speeds ranging from -7.43 m/s to 7.53 m/s, indicating a mix of calm and windy conditions throughout the month. 
 Wind velocity showed variability, with notable gusts reaching up to 8.82 m/s, particularly during stormy conditions. 
 The sky cover varied from clear to overcast, with a predominance of overcast conditions, particularly during rainy days.",y,
130,N3|1713|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,down,up,"The temperature ranged from a low of -2.83°C to a high of 21.42°C, with noticeable fluctuations and a general trend of cooler temperatures towards the end of the period.","The temperature ranged from a low of -2.83°C to a high of 21.42°C, with noticeable fluctuations and a general trend of hotter temperatures towards the end of the period.","Weather time series location: Gila, Arizona experienced a variety of weather conditions. Time range: The past 28 days from October 17 to November 13, 2022. The weather is Clear, Cloudy, Cold, Humid. The temperature ranged from a low of -2.83°C to a high of 21.42°C, with noticeable fluctuations and a general trend of hotter temperatures towards the end of the period. 
 There was no recorded precipitation throughout the entire 28 days. 
 Relative humidity levels varied significantly, with a high of 99.42% and a low of 15.58%, indicating periods of both humid and dry conditions. 
 Visibility remained generally high, with most readings around 16.09 km, but occasional drops to lower values were noted. 
 Wind direction varied significantly, with values ranging from -6.16 to 4.72 m/s, indicating changing wind patterns. 
 Wind velocities showed variability, with some strong gusts reaching up to 6.21 m/s, particularly towards the end of the period. 
 The sky cover varied from clear (0/8) to overcast (8/8), with several days showing scattered to broken clouds.",y,
131,N3|1719|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 2.8°C to a high of 17.8°C, showing a noticeable trend of increasing temperatures towards the end of the week, with some volatility and outliers in the lower range.","The temperature ranged from a low of 2.8°C to a high of 17.8°C, showing a noticeable trend of decreasing temperatures towards the end of the week, with some volatility and outliers in the lower range.","Weather time series location: San Bernardino, California. Time range: The past week from March 6 to March 12, 2019. The weather is Clear, Cloudy, Rainy, Humid, Windy. The temperature ranged from a low of 2.8°C to a high of 17.8°C, showing a noticeable trend of decreasing temperatures towards the end of the week, with some volatility and outliers in the lower range. 
 Precipitation was minimal overall, with a few notable spikes, including a maximum of 2.75 mm, indicating sporadic rainy periods. 
 Relative humidity fluctuated significantly, peaking at 100% and showing a general downward trend from the start to the end of the week, with some periods of high humidity. 
 Visibility remained consistently high throughout the week, mostly around 16.09 km. 
 Wind direction showed variability with some notable gusts, particularly towards the end of the week. 
 Wind velocity varied, with some gusts reaching up to 16.91 km/h, indicating moderate wind conditions. 
 The sky cover varied from clear to overcast, with periods of scattered clouds, indicating a mix of weather conditions.",y,
132,N3|1725|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 5.0°C to a high of 27.2°C, showing a noticeable warming trend towards the end of the week, with some fluctuations and a few outliers below 10°C.","The temperature ranged from a low of 5.0°C to a high of 27.2°C, showing a noticeable cooling trend towards the end of the week, with some fluctuations and a few outliers below 10°C.","Weather time series location: Union, Arkansas. Time range: The past week from October 13 to October 19, 2023. The weather is Clear, Cloudy, Humid. The temperature ranged from a low of 5.0°C to a high of 27.2°C, showing a noticeable cooling trend towards the end of the week, with some fluctuations and a few outliers below 10°C. 
 There was no recorded precipitation throughout the week, indicating dry conditions. 
 Relative humidity was consistently high, starting at 100% for several hours and gradually decreasing to around 32% by the end of the week, with notable spikes during the early hours. 
 Visibility remained generally high, averaging around 16.09 km, with occasional drops to lower values. 
 Wind direction showed fluctuations, with values ranging from -5.83 m/s to 5.83 m/s, reflecting a mix of calm and breezy conditions. 
 Wind velocity varied, with some periods of calm and others reaching up to -5.61 m/s, indicating variable wind conditions. 
 The sky cover varied throughout the week, with a mix of clear and overcast conditions, predominantly clear during the early part of the week and becoming more overcast towards the end.",y,
133,N3|172|swap,28_days,R2:\bindicat\w+\b;\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b,up,down,"The temperature ranged from a low of 24.42°C to a high of 36.0°C, with noticeable daily fluctuations and a general upward trend towards the end of the period, indicating a warming trend.","The temperature ranged from a low of 24.42°C to a high of 36.0°C, with noticeable daily fluctuations and a general downward trend towards the end of the period, indicating a cooling trend.","Weather time series location: Cameron, Texas experienced a predominantly warm and humid climate. Time range: The past 28 days from June 28 to July 25, 2020. The weather is Clear, Hot, Humid. The temperature ranged from a low of 24.42°C to a high of 36.0°C, with noticeable daily fluctuations and a general downward trend towards the end of the period, indicating a cooling trend. 
 Precipitation was minimal, with most days recording no rainfall, except for a few instances of light rain totaling 1.22 mm and 0.15 mm, indicating a dry spell throughout the month. 
 Relative humidity levels varied between 43.0% and 91.5%, showing a trend of higher humidity during the early mornings and lower levels in the afternoons, with occasional spikes. 
 Visibility remained consistently high, mostly around 16.09 km, with some reductions observed during periods of lower humidity. 
 Wind direction showed variability, with speeds ranging from -8.74 m/s to 12.37 m/s, suggesting shifts in wind patterns throughout the period. 
 Wind speeds varied, with values ranging from -1.55 m/s to 12.57 m/s, indicating periods of calm and stronger winds. 
 The sky cover fluctuated from clear to overcast, with a mix of clear (0/8) to broken (6/8) skies, indicating a generally clear to partly cloudy month.",y,
134,N3|1730|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,down,up,"The temperature ranged from a low of -6.67°C to a high of 4.0°C, showing a general downward trend with notable volatility and several outliers below -5°C.","The temperature ranged from a low of -6.67°C to a high of 4.0°C, showing a general upward trend with notable volatility and several outliers below -5°C.","Weather time series location: Boundary County, Idaho experienced a cold and humid week. Time range: The past week from December 28, 2022, to January 3, 2023. The weather is Cold, Humid, Cloudy. The temperature ranged from a low of -6.67°C to a high of 4.0°C, showing a general upward trend with notable volatility and several outliers below -5°C. 
 Consistent light precipitation of 0.3 mm was recorded throughout the week, indicating a stable pattern with no significant changes. 
 Relative humidity levels were high, averaging around 90%, with peaks at 100% and a noticeable decrease towards the end of the week. 
 Visibility remained mostly clear, averaging around 16.09 km, with occasional drops to as low as 1.88 km. 
 Wind direction varied slightly, with values mostly around 0.65 m/s, indicating light winds throughout the week. 
 Wind velocity fluctuated between 1.5 m/s and 4.56 m/s, with some periods of calm winds. 
 The sky was predominantly overcast, with several hours of clear to partly cloudy conditions.",y,
135,N3|1735|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 15.7°C to a high of 40.98°C, with noticeable fluctuations and a general warming trend observed, particularly in the first half of the period.","The temperature ranged from a low of 15.7°C to a high of 40.98°C, with noticeable fluctuations and a general cooling trend observed, particularly in the first half of the period.","Weather time series location: Oklahoma County, Oklahoma experienced varied weather conditions. Time range: The past 28 days from July 29 to August 25, 2023. The weather is Clear, Hot, Humid. The temperature ranged from a low of 15.7°C to a high of 40.98°C, with noticeable fluctuations and a general cooling trend observed, particularly in the first half of the period. 
 Precipitation was minimal, with most days recording no rain, but notable spikes occurred on August 3 (4.64 mm) and August 10 (1.16 mm). 
 Relative humidity varied significantly, with values ranging from 21.25% to 91.5%, showing a trend of higher humidity towards the end of the period. 
 Visibility remained consistently high, mostly around 16.09 km, with occasional drops to around 10.68 km. 
 Wind direction varied, with values ranging from -5.76 m/s to 4.92 m/s, reflecting changing wind patterns throughout the month. 
 Wind velocity showed variability, with values fluctuating between -6.22 m/s and 7.91 m/s, indicating periods of both calm and strong winds. 
 The sky cover was predominantly clear, with occasional scattered clouds, peaking at a maximum of 7/8 coverage on certain days.",y,
136,N3|173|swap,week,R2:\bindicat\w+\b;\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b,up,down,"The temperature ranged from a low of -0.33°C to a high of 17.0°C, showing a noticeable upward trend towards the end of the week, with some fluctuations indicating overall volatility.","The temperature ranged from a low of -0.33°C to a high of 17.0°C, showing a noticeable downward trend towards the end of the week, with some fluctuations indicating overall volatility.","Weather time series location: KERN, CALIFORNIA experienced varied weather conditions. Time range: The past week from March 3 to March 9, 2023. The weather is Clear, Warm, Dry. The temperature ranged from a low of -0.33°C to a high of 17.0°C, showing a noticeable downward trend towards the end of the week, with some fluctuations indicating overall volatility. 
 There was no recorded precipitation throughout the week, indicating dry conditions. 
 Relative humidity varied significantly, with values ranging from 19.0% to 81.0%, showing a general trend of increasing humidity towards the middle of the week before stabilizing. 
 Visibility remained consistently high at around 16.09 km, with a slight dip to 13.95 km on one occasion. 
 Wind direction showed variability, with speeds fluctuating between -6.12 km/h and 12.74 km/h, suggesting changing wind patterns. 
 Wind velocity varied, with notable gusts reaching up to 11.5 km/h, indicating periods of breezy conditions. 
 The sky cover ranged from clear to overcast, with a mix of clear and few clouds dominating the early part of the week, transitioning to more overcast conditions later.",y,
137,N3|1767|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,down,up,"The temperature ranged from a low of -2.76°C to a high of 24.5°C, with noticeable fluctuations and a general cooling trend towards the end of the period.","The temperature ranged from a low of -2.76°C to a high of 24.5°C, with noticeable fluctuations and a general warming trend towards the end of the period.","Weather time series location: Madison County, Illinois experienced a variety of weather conditions. Time range: The past 28 days from October 19, 2021, to November 15, 2021. The weather is Clear, Cloudy, Rainy, Windy, Cold, Humid. The temperature ranged from a low of -2.76°C to a high of 24.5°C, with noticeable fluctuations and a general warming trend towards the end of the period. 
 Precipitation was mostly consistent, with several instances of 0.84 mm, but there were notable peaks, including a higher value of 1.8 mm on one occasion. 
 Relative humidity varied significantly, with values ranging from 35.75% to 99.25%, indicating periods of high humidity, especially towards the end of the period. 
 Visibility generally remained high, mostly around 16.09 km, with occasional drops to lower values due to weather conditions. 
 Wind direction fluctuated, with values ranging from -7.49 to 9.11 m/s, indicating changing wind patterns throughout the period. 
 Wind velocity showed variability, with some strong gusts reaching up to 9.91 m/s, particularly during stormy conditions. 
 Sky cover varied, with clear skies (0/8) observed at times, but also significant cloud cover, reaching overcast conditions (8/8) on several occasions.",y,
138,N3|1770|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of -2.67°C to a high of 14.0°C, with noticeable fluctuations and a general upward trend towards the end of the week.","The temperature ranged from a low of -2.67°C to a high of 14.0°C, with noticeable fluctuations and a general downward trend towards the end of the week.","Weather time series location: Westmoreland, Pennsylvania. Time range: The past week from November 27 to December 3, 2021. The weather is Clear, Cold, Humid. The temperature ranged from a low of -2.67°C to a high of 14.0°C, with noticeable fluctuations and a general downward trend towards the end of the week. 
 There was no recorded precipitation throughout the week, indicating dry conditions. 
 Relative humidity values varied from 40.0% to 100.0%, showing a significant drop during the day and higher levels at night, with a notable spike on November 29. 
 Visibility remained consistently high, mostly around 16.09 km, with occasional drops. 
 Wind direction varied, with values between -1.74 and 7.24 m/s, suggesting a mix of wind patterns. 
 Wind velocity ranged from -5.90 to 7.74 m/s, indicating variable wind conditions with some stronger gusts. 
 The sky cover was predominantly overcast, with several periods of clear to partly cloudy conditions.",y,
139,N3|1793|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b | R3:decreasing humidity as temperatures,up,down,"The temperature ranged from a low of 21.0°C to a high of 35.67°C, showing a noticeable upward trend during the week, particularly peaking mid-week with several hours above 34°C.","The temperature ranged from a low of 21.0°C to a high of 35.67°C, showing a noticeable downward trend during the week, particularly peaking mid-week with several hours above 34°C.","Weather time series location: Laurens County, Georgia. Time range: The past week from July 10 to July 16, 2023. The weather is Clear, Hot, Humid. The temperature ranged from a low of 21.0°C to a high of 35.67°C, showing a noticeable downward trend during the week, particularly peaking mid-week with several hours above 34°C. 
 There was no recorded precipitation throughout the week, indicating dry conditions. 
 Relative humidity fluctuated between 37.5% and 94%, with a general trend of decreasing humidity as temperatures rose, particularly in the afternoons. 
 Visibility remained mostly stable, averaging around 16.09 km, with occasional drops to lower values, particularly during the early morning hours. 
 Wind direction showed variability, with both positive and negative values, suggesting shifts in wind patterns throughout the week. 
 Wind velocity varied, with some periods of calm and others reaching up to 4.95 m/s, indicating a generally breezy week. 
 Sky cover ranged from clear to overcast, with a predominance of clear to partly cloudy conditions.",y,
140,N3|1794|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 19.08°C to a high of 33.17°C, with noticeable fluctuations and a general warming trend observed, particularly in the latter half of the period.","The temperature ranged from a low of 19.08°C to a high of 33.17°C, with noticeable fluctuations and a general cooling trend observed, particularly in the latter half of the period.","Weather time series location: Burlington, New Jersey experienced a variety of weather conditions. Time range: The past 28 days from June 30, 2023, to July 27, 2023. The weather is Clear, Cloudy, Rainy, Humid, Windy. The temperature ranged from a low of 19.08°C to a high of 33.17°C, with noticeable fluctuations and a general cooling trend observed, particularly in the latter half of the period. 
 Precipitation was minimal for most of the period, with significant rainfall occurring on a few days, including a notable peak of 6.05 mm. 
 Relative humidity levels varied, generally ranging from 35% to 90%, with higher humidity observed during the early mornings and late evenings, indicating a humid environment overall. 
 Visibility remained mostly clear, with values predominantly around 16.09 km, but occasional reductions were noted during periods of precipitation. 
 Wind direction fluctuated, with both easterly and westerly components observed, contributing to the overall variability in wind conditions. 
 Wind velocity showed variability, with speeds ranging from calm conditions to gusts exceeding 5 m/s, indicating occasional windy conditions. 
 Sky cover varied throughout the period, with a mix of clear to overcast conditions, predominantly featuring scattered to broken clouds.",y,
141,N3|1807|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,down,up,"The temperature ranged from a low of -6.0°C to a high of 25.67°C, with noticeable fluctuations and a general trend of cooler temperatures towards the end of the period.","The temperature ranged from a low of -6.0°C to a high of 25.67°C, with noticeable fluctuations and a general trend of hotter temperatures towards the end of the period.","Weather time series location: The weather data is from Henderson County, Texas. Time range: The past 28 days from October 28 to November 24, 2019. The weather is Clear, Cloudy, Rainy, Cold, Humid. The temperature ranged from a low of -6.0°C to a high of 25.67°C, with noticeable fluctuations and a general trend of hotter temperatures towards the end of the period. 
 Precipitation was consistent, with most values around 0.45mm, indicating a generally dry period with occasional light rain. 
 Relative humidity varied significantly, peaking at 98.5% and dropping to 22.33%, showing a trend towards lower humidity levels as the month progressed. 
 Visibility remained high, mostly above 15 km, with occasional drops due to weather conditions. 
 Wind direction fluctuated, with values ranging from -2.05 to 2.71 m/s, indicating changing wind patterns. 
 Wind velocity showed variability, with some periods of stronger winds reaching up to 6.66 m/s, particularly in the latter part of the period. 
 Sky cover varied, with periods of clear skies (0/8) and overcast conditions (8/8), reflecting a mix of weather patterns throughout the month.",y,
142,N3|1809|swap,28_days,R2:\bindicat\w+\b;\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b,up,down,"The temperature ranged from a low of -36.33°C to a high of 5.57°C, with a noticeable trend of increasing temperatures towards the end of the period, indicating a warming trend after a prolonged cold spell.","The temperature ranged from a low of -36.33°C to a high of 5.57°C, with a noticeable trend of decreasing temperatures towards the end of the period, indicating a cooling trend after a prolonged cold spell.","Weather time series location: Northwest Arctic Borough, Alaska. Time range: The past 28 days from April 3 to April 30, 2023. The weather is Cold, Clear, Windy. The temperature ranged from a low of -36.33°C to a high of 5.57°C, with a noticeable trend of decreasing temperatures towards the end of the period, indicating a cooling trend after a prolonged cold spell. 
 There was no recorded precipitation throughout the entire period, indicating dry conditions. 
 Relative humidity values fluctuated between 43.0% and 87.0%, with a general trend of higher humidity levels towards the end of the period, suggesting increasing moisture in the air. 
 Visibility remained consistently high, mostly around 16.09 km, with occasional lower values but no significant trends. 
 Wind speeds also showed variability, with maximum gusts recorded at -6.32 m/s, suggesting windy conditions at times. 
 Wind velocities varied, with notable gusts reaching up to -8.65 m/s, indicating periods of strong winds, particularly in the latter half of the month. 
 The sky cover varied from clear to overcast, with a predominance of clear skies early in the period and some scattered clouds later on.",y,
143,N3|1812|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of -7.8°C to a high of 22.8°C, showing a noticeable warming trend over the week, particularly in the latter half, with some volatility and a few outliers at the extremes.","The temperature ranged from a low of -7.8°C to a high of 22.8°C, showing a noticeable cooling trend over the week, particularly in the latter half, with some volatility and a few outliers at the extremes.","Weather time series location: The location is Stutsman County, North Dakota. Time range: The past seven days have been from April 24 to April 30, 2021. The weather is Clear, Cloudy, Windy, Humid. The temperature ranged from a low of -7.8°C to a high of 22.8°C, showing a noticeable cooling trend over the week, particularly in the latter half, with some volatility and a few outliers at the extremes. 
 There was minimal precipitation, with most hours recording 0.0 mm, except for a few instances of light rain totaling 0.5 mm on April 26 and 0.3 mm on April 29. 
 Relative humidity fluctuated significantly, starting high at 65% and dropping to as low as 19%, with a notable spike towards the end of the week, indicating a trend towards increased moisture. 
 Visibility remained generally high, averaging around 16.09 km, with occasional drops to lower values, particularly on April 26. 
 Wind direction showed variability, with some hours experiencing strong winds from the northwest. 
 Wind velocity varied, with notable gusts reaching up to 10.8 m/s, indicating periods of windy conditions. 
 The sky cover was predominantly clear to partly cloudy, with several hours of overcast conditions noted, particularly early in the week.",y,
144,N3|1815|swap,28_days,R2:\bindicat\w+\b;\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b,up,down,"The temperature ranged from a low of 19.28°C to a high of 43.17°C, with noticeable fluctuations and a general upward trend towards the end of the period, indicating hot weather.","The temperature ranged from a low of 19.28°C to a high of 43.17°C, with noticeable fluctuations and a general downward trend towards the end of the period, indicating hot weather.","Weather time series location: The weather data pertains to Stephens County, Oklahoma. Time range: The past 28 days from June 25 to July 22, 2022. The weather is Clear, Hot, Humid, Cloudy. The temperature ranged from a low of 19.28°C to a high of 43.17°C, with noticeable fluctuations and a general downward trend towards the end of the period, indicating hot weather. 
 Precipitation was relatively consistent, with most readings around 0.85 mm, but there were a few outliers with higher values, including a peak of 2.82 mm, suggesting sporadic rainfall. 
 Relative humidity varied significantly, with values ranging from 16.0% to 88.42%, indicating periods of both dry and humid conditions, with a tendency towards higher humidity levels in the latter part of the period. 
 Visibility remained mostly stable, averaging around 16.09 km, with slight reductions during specific times. 
 Wind direction varied, with values ranging from -5.4 to 4.72 m/s, reflecting changes in wind patterns throughout the period. 
 Wind velocity showed variability, with values ranging from -7.1 to 7.35 m/s, indicating periods of both calm and breezy conditions. 
 The sky cover ranged from clear to overcast, with a significant amount of time spent under clear or few clouds, but also periods of overcast conditions.",n,"a: leftover "", indicating hot weather"" inside swapped clause contradicts the new downward trend — claim incoherent"
145,N3|1818|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,down,up,"The temperature ranged from a low of 6.24°C to a high of 30.0°C, showing a noticeable trend of decreasing temperatures towards the end of the period, with some volatility and outliers, particularly the high of 30.0°C and low of 6.24°C.","The temperature ranged from a low of 6.24°C to a high of 30.0°C, showing a noticeable trend of increasing temperatures towards the end of the period, with some volatility and outliers, particularly the high of 30.0°C and low of 6.24°C.","Weather time series location: Harrison, Mississippi experienced a variety of weather conditions during this period. Time range: The past 28 days from October 16, 2021, to November 12, 2021. The weather is Clear, Cloudy, Rainy, Humid, Windy, Cold. The temperature ranged from a low of 6.24°C to a high of 30.0°C, showing a noticeable trend of increasing temperatures towards the end of the period, with some volatility and outliers, particularly the high of 30.0°C and low of 6.24°C. 
 Precipitation was minimal for most of the period, with significant events occurring on October 20 (2.42 mm) and November 5 (11.55 mm), indicating sporadic rainy days amidst predominantly dry conditions. 
 Relative humidity varied significantly, peaking at 96.12% and dropping to 34.0%, with a general trend of higher humidity levels early in the period and lower levels towards the end, suggesting a transition to drier air. 
 Visibility remained generally high, mostly around 16.09 km, with occasional drops to lower values during periods of precipitation. 
 Wind direction varied, with values ranging from -6.27 to 6.13 m/s, suggesting shifts in wind patterns throughout the month. 
 Wind velocity fluctuated, with values ranging from -7.93 to 6.38 m/s, indicating periods of both calm and windy conditions. 
 The sky cover varied from clear to overcast, with a mix of clear and cloudy days, particularly noted with several days showing significant cloud cover (sky codes 6 to 8).",y,
